Gene_acc,Gene_id,logFC,-log10FDR,logCPM,Desc
52,MSTRG.238,1.6643337764358863,3.796821696900484,1.2901113775737838,MSTRG.238
53,Tb927.7.1970,1.6544014375521054,5.378664441739815,1.9899650530916095,retrotransposon hot spot protein 7 (RHS7)  putative
54,Tb427VSG-6609,1.647934012184838,4.364401837954719,7.945574522326267,Tb427VSG-6609
55,TRY.19,1.6457018653754958,7.053783896668819,8.314443959137241,TRY.19
56,Tb927.7.1980,1.6437696402125217,5.226880606315432,1.8478129829118568,retrotransposon hot spot protein 7 (RHS7)  putative
57,Tb927.9.15770,1.6334685397946813,5.3460152179324805,1.194514699214483,hypothetical protein  conserved
58,Tb427.BES129.3,1.6219787452759165,4.236612040782231,8.190717868336707,Tb427.BES129.3
59,Tb427.BES129.6-pseudo,1.5991455991766774,6.450648476660133,5.968870276335192,Tb427.BES129.6-pseudo
60,Tb927.8.480,1.5778840250834938,7.700352801284012,6.869194972383453,phosphatidic acid phosphatase protein  putative
61,MSTRG.234,1.5720431946459565,3.753352475031527,1.2416264766148644,MSTRG.234
62,MSTRG.236,1.5709955514242764,3.761719272881442,1.2899119653831783,MSTRG.236
63,TRY.1045,1.5632180848941204,5.788274783369996,4.103003164883898,TRY.1045
64,TRY.488,1.546455281362354,5.79352308190408,4.247316108955494,TRY.488
65,KS17gene_5380a,1.5452877875856854,3.62530453227113,0.3864587894806023,KS17gene_5380a
66,Tb427VSG-6216,1.536568448060902,3.795218183083052,0.9543233660098532,Tb427VSG-6216
67,TRY.366,1.5336834659941467,3.389535975832057,0.36573890204204196,TRY.366
68,Tb08.27P2.110,1.5204668781010622,7.624582816657547,6.961713666748351,PAP2 superfamily  putative
69,Tb427.BES40.10,1.5037950396540618,7.36930884199365,10.67192931793936,Tb427.BES40.10
70,Tb927.6.480,1.4926039195095244,5.681409293247834,3.5291722526910423,surface protein EP3-2 procyclin precursor
71,Tb427.BES129.7,1.4848624904737837,6.548079733875359,7.742435555761158,Tb427.BES129.7
72,Tb427VSG-6481,1.4754460799655449,2.596107128433236,0.8088208871603134,Tb427VSG-6481
73,TRY.863,1.4732234768884716,4.489600517267283,3.1126221988414913,TRY.863
74,Tb927.9.15740,1.464489040704609,4.5891904912636265,1.8201961656145476,hypothetical protein  conserved
75,Tb927.8.550,1.4616088342592561,7.018351595326328,5.365802364452187,peptide methionine sulfoxide reductase  putative
76,Tb927.10.10210,1.4590376726156131,5.6400595359466905,4.389930598703774,procyclin-associated gene 4 (PAG4) protein
77,Tb927.10.3600,1.4475790316772748,6.314463640838965,5.149762118411971,hypothetical protein  conserved
78,Tb427.BES40.12,1.4406311676178136,6.591875116943594,7.141330893822592,Tb427.BES40.12
79,Tb927.8.1460,1.4268531232557995,6.937809259806178,6.7563167778011755,EamA-like transporter family  putative
80,TRY.269,1.4053689537778604,5.686607793885622,4.085247030977432,TRY.269
81,Tb427.BES40.16,1.3968722757095804,6.612858650582751,10.393225398730355,Tb427.BES40.16
82,Tb927.8.470,1.3941321201521517,4.911276351557339,2.8452433885864155,variant surface glycoprotein  degenerate
83,Tb927.5.620,1.3906013705172604,6.314463640838965,5.520544689309572,invariant surface glycoprotein  putative
84,Tb927.9.15730,1.3874849594861793,4.3422453888686485,1.0402931098496482,variant surface glycoprotein (VSG)-related  putative
85,Tb927.7.180,1.380758069410715,6.948916498272919,8.601797398658569,Trypanosomal VSG domain containing protein  putative
86,MSTRG.358,1.3738603294867993,5.134396879791088,2.626993187536184,MSTRG.358
87,Tb427.BES40.5-pseudo,1.3701249063864218,7.737963842692404,9.68030992707156,Tb427.BES40.5-pseudo
88,KS17gene_12a,1.3675654052480817,6.48970129404123,6.148072659591319,KS17gene_12a
89,Tb427.BES129.5,1.3647898633511717,5.75623909825449,9.8190580656793,Tb427.BES129.5
90,Tb927.6.450,1.3478445721042174,5.695704653790409,2.726315632968412,procyclin PARP A
91,Tb927.8.7730,1.3452106398723893,7.419498987598003,6.007304582923579,Sphingosine N-acyltransferase  putative
92,Tb927.9.15720,1.3371107032000806,5.109344583028531,3.484594326545668,hypothetical protein  conserved
93,Tb927.9.15710,1.3368516115894653,3.9191206575001973,1.0324549902258604,variant surface glycoprotein (VSG)-related  putative
94,Tb927.5.1390,1.3351076071417227,6.9813948435556865,6.562956351264789,64 kDa invariant surface glycoprotein
95,Tb927.9.15800,1.3347557923005529,4.819538586527788,1.6833257857816901,hypothetical protein  conserved
96,MSTRG.359,1.3185667368722114,4.487754282478331,2.747666629384842,MSTRG.359
97,KS17gene_1633a,1.3132727199533474,6.228105473532482,5.135559199152778,KS17gene_1633a
98,MSTRG.29,1.3126269455087105,3.8553086301145782,1.7324628517206297,MSTRG.29
99,MSTRG.439,1.2999671617710182,4.641819828069486,2.494824282148353,MSTRG.439
100,KS17gene_14a,1.2930488774662425,4.388693812009995,3.9494307187234763,KS17gene_14a
101,Tb927.3.2460,1.285566310740257,6.401028455167349,5.528931801139575,hypothetical protein  conserved
102,KS17gene_15a,1.2797073223696334,4.589698172391508,4.294865337709081,KS17gene_15a
103,MSTRG.603,1.2675504267332829,7.270151353577103,7.113957918210203,MSTRG.603
104,Tb927.10.10250,1.2604243378940592,5.387546649170371,4.248008837885751,EP2 procyclin
105,Tb427.BES129.11,1.2543745922458238,5.910093703321297,7.298256448189757,Tb427.BES129.11
106,Tb427.BES40.4-pseudo,1.2539656333553686,4.410140855423845,10.468791383075331,Tb427.BES40.4-pseudo
107,Tb427.BES40.3,1.252400400310341,3.1243499279366995,10.627838365605228,Tb427.BES40.3
108,Tb427.BES40.18,1.2441496709887347,6.548079733875359,10.276580430894784,Tb427.BES40.18
109,Tb427VSG-632,1.2400939286632404,6.968133813009172,5.052278758679313,Tb427VSG-632
110,Tb927.5.1430,1.2196642139424878,7.053783896668819,6.637376730701734,64 kDa invariant surface glycoprotein
111,TRY.946,1.2167975106648719,3.9319913577076573,0.6019330236043715,TRY.946
112,MSTRG.25,1.216593685509691,4.24094833816143,1.4512560101889551,MSTRG.25
113,MSTRG.360,1.203001034306558,3.5874882060208577,1.2825740475784095,MSTRG.360
114,KS17gene_630a,1.1868334674988616,5.717182595436653,3.8437815264020525,KS17gene_630a
115,Tb927.6.520,1.180068822587312,6.793122971098964,4.775927730539518,EP3-2 procyclin
116,Tb927.4.3730,1.1689406309364514,6.790248064725042,5.264035147447045,hypothetical protein  conserved
117,MSTRG.334,1.167389440648237,4.451814440876832,2.1397528651403235,MSTRG.334
118,Tb927.5.1410,1.1610520519634158,6.935829479698604,7.228329557587135,64 kDa invariant surface glycoprotein
119,MSTRG.337,1.1478646080630548,3.063370210655665,0.7082347112146486,MSTRG.337
120,Tb927.1.40,1.147388132774872,2.330425003912349,1.1271005862333865,hypothetical protein
121,Tb927.9.15100,1.132135401562436,6.125212587712853,5.866941913891079,hypothetical protein  conserved
122,Tb927.8.6700,1.1280193442487185,4.2910307836783375,4.672815880046059,hypothetical protein  conserved
123,Tb427.BES40.2,1.1176073505386281,3.573919428773073,10.27622438679436,Tb427.BES40.2
124,Tb427VSG-6903,1.1157273756187185,2.4772674052447545,0.8068023848823193,Tb427VSG-6903
125,KS17gene_5338a,1.1000410626204382,4.487115780535212,3.226574409188266,KS17gene_5338a
126,KS17gene_4257a,1.0992575704673182,4.426556577970493,3.083003677396062,KS17gene_4257a
127,KS17gene_1079a,1.0988870748060173,5.118007755908934,3.5771117817076794,KS17gene_1079a
128,MSTRG.802,1.0855686874132868,4.601471746097289,2.0985822984306117,MSTRG.802
129,TRY.800,1.0788022291529935,3.8191096017575217,1.588872023738508,TRY.800
130,Tb927.7.2030,1.0693916968929955,4.287909172008699,4.685283090612155,retrotransposon hot spot protein 7 (RHS7)  putative
131,KS17gene_1199a,1.068327682311578,5.622630896992706,4.011184628635704,KS17gene_1199a
132,Tb927.9.7860,1.0516138986964876,3.423216155448062,1.6556052966584405,hypothetical protein  conserved
133,MSTRG.339,1.0495767812005385,3.3440829591093073,1.7289236534812873,MSTRG.339
134,KS17gene_8506a,1.0488993804179938,3.9862082756745463,3.5067821444925813,KS17gene_8506a
135,Tb927.5.4010,1.0412941444393036,6.592048309527201,6.484514231486546,Enriched in surface-labeled proteome protein 4
136,Tb927.11.4080,1.0405110091776186,5.041043154080062,2.624125144955459,variant surface glycoprotein (VSG)-related  putative
137,Tb927.10.9530,1.0308223792966618,3.2454396151426863,0.680317797230793,hypothetical protein
138,KS17gene_1987a,1.025769788082117,4.572025952521588,3.122690940983484,KS17gene_1987a
139,Tb927.3.560,1.0189587804831144,6.665028261866375,6.210432372120972,expression site-associated gene 11 (ESAG11) protein  putative
140,MSTRG.862,1.0148214287301722,3.835789702426762,2.860823434782829,MSTRG.862
141,Tb427VSG-1573,1.0122999817258305,5.273667365029073,5.341769223763586,Tb427VSG-1573
142,MSTRG.527,1.0090767993695184,4.8814350230908845,2.6517205459598117,MSTRG.527
143,Tb927.11.5900,0.9853283467205931,6.774429776895466,5.33970429270736,hypothetical protein  conserved
144,MSTRG.393,0.983090290744131,2.4961999058366975,0.5503154401377766,MSTRG.393
145,Tb927.8.520,0.9779345686183163,3.2776071268812412,2.0999280689990454,hypothetical protein
146,Tb927.10.11220,0.9776635540228342,6.948916498272919,6.285841092158184,procyclic form surface phosphoprotein
147,Tb09.v4.0106,0.9716028106547805,4.438728829754752,2.7531483928557443,nucleoside transporter 1  putative
148,Tb927.6.3140,0.9668837249468485,6.026268304696569,5.652768731292548,Ubiquitin-like protein 11
149,TRY.418,0.9662719937047842,3.387036944443442,5.458525386257655,TRY.418
150,KS17gene_512a,0.9568863606740358,4.708231412163263,3.637202911245485,KS17gene_512a
151,KS17gene_814a,0.9488488567133765,2.2240086884093766,2.309871551908695,KS17gene_814a
152,KS17gene_11a,0.9443962829114209,6.72804541972172,6.39731324355968,KS17gene_11a
153,Tb927.1.3760,0.9433594749513121,4.76260339787383,2.9780443811541955,hypothetical protein  conserved
154,TRY.23,0.9388942607808188,4.568484326849823,4.30529957555024,TRY.23
155,Tb927.1.2040,0.9191009683788165,5.35273509236125,4.278996286324234,expression site-associated gene 2 (ESAG2) protein  putative
156,Tb427VSG-1619,0.9164596948333378,4.523406650008398,4.147834867766909,Tb427VSG-1619
157,Tb11.v5.0752,0.9120379764488892,6.089618522894036,6.496091224520651,expression site-associated gene 3 (ESAG3) protein  putative
158,KS17gene_6553a,0.9101620776347659,4.4564077642765705,2.6044261419584704,KS17gene_6553a
159,KS17gene_3178a,0.9078446093902814,4.6967750339756025,3.9594756615737485,KS17gene_3178a
160,Tb927.6.1040,0.8998124658545782,6.5245681115422824,8.069768781686559,cysteine peptidase  Clan CA  family C1  Cathepsin L-like
161,Tb927.6.3390,0.8976095191263374,3.50623254527193,1.5875532687086655,expression site-associated gene 2 (ESAG2)  frameshift
162,Tb927.5.286b,0.8916814712643373,6.168118266332609,5.476143225230994,adenosine transporter 1
163,Tb427VSG-1373,0.8897110861409915,3.714338849153181,2.5945370126028378,Tb427VSG-1373
164,Tb927.8.7770,0.8873958413617036,6.362815037893506,5.876126938391221,aldehyde dehydrogenase family  putative
165,Tb927.6.1030,0.8863184846049331,6.181871410646936,8.075040640503051,cysteine peptidase  Clan CA  family C1  Cathepsin L-like
166,KS17gene_6923a,0.885733721069139,3.83333058707539,2.5936231564182166,KS17gene_6923a
167,TRY.388,0.8853220896884814,3.068709404867085,1.1445412700529398,TRY.388
168,Tb927.6.990,0.881798782194836,6.026268304696569,7.5729350464367915,cysteine peptidase  Clan CA  family C1  Cathepsin L-like
169,Tb927.8.6930,0.8809803048763513,6.96726770625543,6.840070501464107,serine/threonine-protein kinase NRKB  putative
170,Tb927.11.10640,0.8796096557565724,6.861070778331539,6.675106131638764,DNA-(apurinic or apyrimidinic site) lyase  putative
171,Tb927.6.970,0.8772588166183828,6.302522621216005,7.495102801423841,cysteine peptidase  Clan CA  family C1  Cathepsin L-like
172,Tb927.10.10260,0.874075391556231,4.871199687410281,5.739212462032316,EP1 procyclin
173,Tb927.6.1020,0.8730620844927766,6.382934256735854,9.007454929171391,cysteine peptidase  Clan CA  family C1  Cathepsin L-like
174,Tb927.5.130,0.8698105743880868,5.409682159518475,3.937855026566399,variant surface glycoprotein (VSG)-related  putative
175,Tb927.6.1050,0.8690987708471556,6.570597453003848,7.540626051195253,cysteine peptidase  Clan CA  family C1  Cathepsin L-like
176,Tb927.10.6750,0.8651715318615478,4.717308031117661,7.325755042902763,Plasma-membrane choline transporter  putative
177,Tb427.BES40.8,0.8637413959658022,6.847077570921911,10.777578829267542,Tb427.BES40.8
178,Tb927.10.1020,0.863585311831646,4.092550966778862,2.951702923749496,hypothetical protein
179,Tb11.v5.0210,0.8558595124253944,5.42323982773123,4.878836429849926,adenosine transporter  putative
180,Tb927.9.15980,0.8536796847050943,3.444013991383278,3.2568988779049177,nucleoside transporter 1  putative
181,Tb927.6.1000,0.8534627300187816,6.429249912062616,7.672498364054656,cysteine peptidase  Clan CA  family C1  Cathepsin L-like
182,MSTRG.887,0.849135689080679,2.625108037994766,1.9978705503567233,MSTRG.887
183,Tb11.v5.1031,0.844199430971525,4.841223363572104,3.1233866204371235,hypothetical protein  conserved
184,KS17gene_5916a,0.8435725466373243,3.0680205047261477,1.656682891557422,KS17gene_5916a
185,Tb927.8.7300,0.8431598478081027,3.9101200608794073,2.3599211734707715,variant surface glycoprotein (VSG)-related  putative
186,Tb08.27P2.80,0.8427281460713264,3.2229313925945737,1.4517779502570547,hypothetical protein
187,MSTRG.953,0.8412584330670221,3.9763923941623633,2.4022360438055452,MSTRG.953
188,Tb927.11.1530,0.8385451415346052,4.871199687410281,4.4480417452878624,expression site-associated gene 3 (ESAG3) protein  putative
189,MSTRG.531,0.8384698227540117,3.7247088151167334,2.0385796026268523,MSTRG.531
190,Tb927.11.9160,0.8319681751739099,6.426286429689615,5.331046589097656,ATPase-like protein  putative
191,Tb05.30F7.410,0.829012995423415,2.3025955189000067,1.2734450450461197,hypothetical protein
192,Tb08.27P2.70,0.8266980668870512,2.6929845889533244,1.1350635079416165,hypothetical protein
193,Tb927.6.980,0.8245681735166787,6.500358442253469,7.165522151891044,cysteine peptidase  Clan CA  family C1  Cathepsin L-like
194,Tb927.10.15040,0.8233898828727811,3.996662132110195,4.715900630860877,hypothetical protein  conserved
195,TRY.1016,0.8226340298560596,3.2703647061759593,2.7249228609470055,TRY.1016
196,TRY.315,0.8147806843125287,3.118385900613858,1.2164464224560299,TRY.315
197,Tb927.10.9270,0.8138401485936786,5.048756006577612,5.38678393718229,emp24/gp25L/p24 family/GOLD  putative
198,Tb927.7.400,0.8105439894960685,4.585738985528074,3.7126562046899454,hypothetical protein  conserved
199,KS17gene_1616a,0.8099318872900279,6.191603144317246,6.381383650802813,KS17gene_1616a
200,KS17gene_228a,0.8088046711957446,5.933989766943433,6.295498304236835,KS17gene_228a
201,KS17gene_5936a,0.807927968021619,3.0466599542722204,2.0624046562488694,KS17gene_5936a
202,Tb927.2.5650,0.8074394808492229,6.150006935233083,6.034100923208984,hypothetical protein  conserved
203,MSTRG.906,0.8071242195072832,4.396977194765607,3.606229379391652,MSTRG.906
204,Tb927.6.1060,0.8046398898373188,6.2430286303216596,7.089322365507085,cysteine peptidase  Clan CA  family C1  Cathepsin L-like
205,KS17gene_1535a,0.8023162901990935,2.474474344600758,2.0681351795632033,KS17gene_1535a
206,Tb927.7.6780,0.7983662948651675,5.83478301297896,6.148564265313513,hypothetical protein
207,Tb8.NT.18,0.7977035533255659,3.2154417568651397,3.630386757944706,Noncoding RNA  putative
208,Tb927.3.4830,0.7949452369799076,4.4641755331239965,5.505143339295118,hypothetical protein
209,Tb927.11.4700,0.7908249409009271,6.619761177137037,8.408452827375182,prostaglandin f synthase
210,Tb927.11.5090,0.7899071642194117,4.949938786769461,4.402636540341333,aspartate aminotransferase  mitochondrial
211,Tb4.NT.19,0.7898760780902647,3.2440159557467876,2.2727430418372583,Noncoding RNA  putative
212,Tb927.9.13570,0.7856041069475838,6.18887400578675,5.539962793610257,hypothetical protein  conserved
213,Tb927.2.5480,0.7855512557592295,6.3775524333833795,5.783282977247705,hypothetical protein  conserved
214,Tb927.7.7510,0.7848613209667612,6.167972912177919,8.225438529498774,hypothetical protein
215,MSTRG.973,0.7834148682467696,3.061359030112277,1.991373735749556,MSTRG.973
216,KS17gene_6107a,0.7824958637731538,5.39093137226793,4.354368280353157,KS17gene_6107a
217,KS17gene_4363a,0.7823513454529024,3.8780165766742765,2.2617237957572125,KS17gene_4363a
218,Tb927.6.960,0.7810997438922461,5.5740101672691695,6.840113642386615,cysteine peptidase  Clan CA  family C1  Cathepsin L-like
219,KS17gene_1649a,0.7726178533114884,1.811216036571537,4.163410070233267,KS17gene_1649a
220,TRY.529,0.7717965611037999,4.372659180284044,8.002973837742939,TRY.529
221,Tb427VSG-3255,0.771232917121871,4.806597497681027,4.694588270511777,Tb427VSG-3255
222,Tb927.6.1010,0.7701629859107688,6.265223685958962,6.777307294938586,cysteine peptidase  Clan CA  family C1  Cathepsin L-like
223,KS17gene_632a,0.7684776146490901,4.224563497267133,3.619473246995895,KS17gene_632a
224,TRY.389,0.7669683160525765,3.017470043812008,3.1693917863831107,TRY.389
225,Tb927.7.3600,0.7668752075094449,4.983588618060269,5.575046510444166,emp24/gp25L/p24 family/GOLD  putative
226,Tb927.1.5110,0.7660288788821615,6.108963357787905,6.50301709961092,expression site-associated gene 11 (ESAG11) protein  putative
227,KS17gene_6071a,0.7627807261560642,2.606001072079896,1.8317103450136203,KS17gene_6071a
228,KS17gene_4352a,0.7625457934065512,2.4030540833694483,0.7806359021343213,KS17gene_4352a
229,TRY.457,0.7607048435968446,4.687174864810917,3.6751362544356168,TRY.457
230,Tb427VSG-6901,0.7606334373270014,3.553897070824382,2.8105699072461614,Tb427VSG-6901
231,Tb08.27P2.60,0.7595076852013758,2.8169028947709256,2.256717662254653,hypothetical protein
232,TRY.777,0.7594986085348843,3.165559499823511,1.004926598098529,TRY.777
233,Tb927.3.1910,0.7581109472583202,2.0161132822287806,5.238629916775297,Histone RNA hairpin-binding protein RNA-binding domain containing protein  putative
234,KS17gene_2964a,0.7537472777605048,4.194434831913365,3.64706463700013,KS17gene_2964a
235,Tb927.7.420,0.7520361140600733,4.226115332584561,3.8060385522425593,hypothetical protein  conserved
236,MSTRG.682,0.7520223639863564,3.050079419329222,2.2550268707369647,MSTRG.682
237,Tb927.9.7770,0.7511098369068854,5.986850003009968,7.658481176636502,spermidine synthase
238,Tb927.10.9320,0.749362304326947,4.555727398406288,3.9886815758523904,hypothetical protein  conserved
239,TRY.962,0.7463521792927043,3.807209984512899,2.6367249507546537,TRY.962
240,Tb927.7.310,0.7461743263101479,4.326607627944275,3.269305894021005,Prostaglandin E synthase  putative
241,MSTRG.129,0.7448220998358808,2.835219604880183,1.4071238221150806,MSTRG.129
242,KS17gene_265a,0.7430136439051762,4.614945137279708,6.895333858168781,KS17gene_265a
243,Tb927.4.830,0.7429703086822566,3.654453231763408,3.6664416412157843,cytochrome c oxidase assembly protein PET191  putative
244,Tb927.11.7640,0.7388720338431927,4.081981816286215,3.4609640568193583,Gp63-1 surface protease homolog  putative
245,Tb927.9.14660,0.7381732734890006,3.1160697641980377,3.229253257504059,SLACS reverse transcriptase  putative (pseudogene)
246,MSTRG.514,0.7354516357151818,5.1796945121984574,6.0005582618600215,MSTRG.514
247,MSTRG.618,0.7352608229677613,2.8404743216772657,1.4681875138264215,MSTRG.618
248,Tb927.6.530,0.7348676288355723,3.3253176616611504,2.8483946936838036,procyclin associated gene 3 (PAG3) protein
249,Tb927.10.5150,0.7339627558828639,3.882158053064423,2.494971510732671,zinc finger protein family member  putative
250,KS17gene_7626a,0.7335196864284069,5.226880606315432,5.328542369031975,KS17gene_7626a
251,KS17gene_6594a,0.7322846966098459,4.447412366879523,3.6790366675485395,KS17gene_6594a
252,KS17gene_367a,0.7299142367061628,2.704585679283063,3.2271584270981006,KS17gene_367a
253,MSTRG.575,0.7291330095626175,2.7418623969491014,2.708954891973178,MSTRG.575
254,Tb927.7.6860,0.7284621752354266,5.796685737561834,7.304758499543169,expression site-associated gene 5 (ESAG5) protein  putative
255,Tb11.v5.0806,0.7280488968135721,5.796685737561834,7.679296797451104,hypothetical protein  conserved
256,Tb927.11.15510,0.7255209898197266,5.531803879123321,4.934910002454068,hypothetical protein  conserved
257,Tb927.3.5570,0.7243857932562993,5.938111264752748,5.568244004956363,syntaxin  putative
258,KS17gene_5179a,0.7235393629886488,3.470515543299947,2.6213684700468725,KS17gene_5179a
259,Tb927.9.13580,0.7229928183885279,5.153025568867609,6.226520671732022,hypothetical protein  conserved
260,KS17gene_6095a,0.7221143633524145,3.9927912556645033,3.3182614539958726,KS17gene_6095a
261,TRY.91,0.7206846650278351,3.5319705626207085,2.661184953186206,TRY.91
262,Tb927_06_v4.snoRNA.0006,0.7177146260487975,2.749394675181668,0.8493147850094785,C/D snoRNA
263,MSTRG.907,0.7168951412441326,3.654453231763408,3.4206159618022145,MSTRG.907
264,Tb427VSG-1637,0.7107730928996023,4.523406650008398,3.827966844026553,Tb427VSG-1637
265,Tb927.6.180,0.7099479821172655,4.938561409432559,4.65477014500623,receptor-type adenylate cyclase GRESAG 4  putative
266,KS17gene_440a,0.7055887212265971,3.135611969158024,2.0941222023502943,KS17gene_440a
267,TRY.778,0.7050381407871056,4.109414423430644,3.7758624445973235,TRY.778
268,KS17gene_2098a,0.7042349689490511,4.545957107281423,3.719206578046781,KS17gene_2098a
269,MSTRG.133,0.7029031940416502,2.688100896155304,1.4397510699566234,MSTRG.133
270,Tb927.10.10040,0.7026838965939827,2.760392544169734,4.6193781553411295,hypothetical protein
271,KS17gene_80a,0.7025573962758102,2.8169028947709256,3.9445889118867603,KS17gene_80a
272,Tb927.8.7780,0.7000933947028379,4.350909646172608,7.299638208075782,hypothetical protein  conserved
273,Tb927.3.5670,0.6987900896215362,3.7860169509169554,3.0989787444107932,hypothetical protein
274,Tb927.7.2980,0.6958220317024381,4.74478535948656,6.655685338919111,Nitroreductase family  putative
275,KS17gene_5670a,0.6948064391443035,2.521925265556239,1.6488328447215383,KS17gene_5670a
276,Tb09.v4.0150,0.6944191874568902,4.053943480736478,2.531450465692794,variant surface glycoprotein (VSG  pseudogene)  putative
277,KS17gene_3590a,0.6936749254734406,3.306018781233413,2.469333769516209,KS17gene_3590a
278,KS17gene_1646a,0.6932572267364008,3.340548942901926,2.318994628256481,KS17gene_1646a
279,Tb927.2.2200,0.6930657936054592,4.675136928345243,4.883920396381926,hypothetical protein  conserved
